DATAFLOW,LAST UPDATE,freq,unit,iccs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Austria,1994,88,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Austria,1995,78,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Austria,1996,99,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Austria,1997,66,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Austria,1998,77,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Austria,1999,60,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Austria,2000,82,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Austria,2001,70,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Austria,2002,65,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Austria,2003,50,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Austria,2004,59,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Austria,2005,54,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Austria,2006,60,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Austria,2007,45,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Belgium,2000,216,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Belgium,2001,282,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Belgium,2002,320,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Belgium,2003,229,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Belgium,2004,267,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Belgium,2005,221,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Belgium,2006,223,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Belgium,2007,211,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Bulgaria,1995,461,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Bulgaria,1996,404,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Bulgaria,1997,369,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Bulgaria,1998,381,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Bulgaria,1999,327,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Bulgaria,2000,332,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Bulgaria,2001,308,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Bulgaria,2002,255,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Bulgaria,2003,247,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Bulgaria,2004,240,,
