ID,lifestage,sex,unit_of_measure,country,recorded_year,recorded_value
1,Adult,F,Number,Montenegro,2010,59.00
2,Adult,F,Number,Montenegro,2011,37.00
3,Adult,F,Number,Montenegro,2012,53.00
4,Adult,F,Number,Montenegro,2013,19.00
5,Adult,F,Number,Montenegro,2014,31.00
6,Adult,F,Number,Montenegro,2015,35.00
7,Adult,F,Number,Montenegro,2016,36.00
8,Adult,F,Number,Montenegro,2017,26.00
9,Adult,F,Number,Montenegro,2018,13.00
10,Adult,F,Number,Montenegro,2019,26.00
11,Adult,F,Number,Montenegro,2020,26.00
12,Adult,F,Number,Montenegro,2021,30.00
13,Adult,F,Number,Montenegro,2022,39.00
14,Adult,F,Number,Montenegro,2023,35.00
15,Adult,F,Number,"North Macedonia",2009,55.00
16,Adult,F,Number,"North Macedonia",2010,55.00
17,Adult,F,Number,"North Macedonia",2011,50.00
18,Adult,F,Number,"North Macedonia",2016,102.00
19,Adult,F,Number,"North Macedonia",2017,71.00
20,Adult,F,Number,"North Macedonia",2022,85.00
21,Adult,F,Number,"North Macedonia",2023,81.00
22,Adult,F,Number,Malta,2008,29.00
23,Adult,F,Number,Malta,2009,28.00
24,Adult,F,Number,Malta,2010,34.00
25,Adult,F,Number,Malta,2011,35.00
26,Adult,F,Number,Malta,2012,47.00
27,Adult,F,Number,Malta,2013,44.00
28,Adult,F,Number,Malta,2014,37.00
29,Adult,F,Number,Malta,2015,41.00
30,Adult,F,Number,Malta,2016,37.00
31,Adult,F,Number,Malta,2017,56.00
32,Adult,F,Number,Malta,2018,70.00
33,Adult,F,Number,Malta,2019,63.00
34,Adult,F,Number,Malta,2020,57.00
35,Adult,F,Number,Malta,2021,53.00
36,Adult,F,Number,Malta,2022,53.00
37,Adult,F,Number,Malta,2023,46.00
38,Adult,F,Number,Netherlands,2008,940.00
39,Adult,F,Number,Netherlands,2009,896.00
40,Adult,F,Number,Netherlands,2010,872.00
41,Adult,F,Number,Netherlands,2011,789.00
42,Adult,F,Number,Netherlands,2012,712.00
43,Adult,F,Number,Netherlands,2013,673.00
44,Adult,F,Number,Netherlands,2014,662.00
45,Adult,F,Number,Netherlands,2015,489.00
46,Adult,F,Number,Netherlands,2016,566.00
47,Adult,F,Number,Netherlands,2017,578.00
48,Adult,F,Number,Netherlands,2018,608.00
49,Adult,F,Number,Netherlands,2019,705.00
50,Adult,F,Number,Netherlands,2020,504.00
51,Adult,F,Number,Netherlands,2021,559.00
52,Adult,F,Number,Netherlands,2022,509.00
53,Adult,F,Number,Netherlands,2023,543.00
54,Adult,F,Number,Norway,2008,192.00
55,Adult,F,Number,Norway,2009,211.00
56,Adult,F,Number,Norway,2010,221.00
57,Adult,F,Number,Norway,2011,252.00
58,Adult,F,Number,Norway,2012,248.00
59,Adult,F,Number,Norway,2013,200.00
60,Adult,F,Number,Norway,2014,204.00
61,Adult,F,Number,Norway,2015,212.00
62,Adult,F,Number,Norway,2016,243.00
63,Adult,F,Number,Norway,2017,275.00
64,Adult,F,Number,Norway,2018,272.00
65,Adult,F,Number,Norway,2019,227.00
66,Adult,F,Number,Norway,2020,232.00
67,Adult,F,Number,Norway,2021,237.00
68,Adult,F,Number,Norway,2022,213.00
69,Adult,F,Number,Norway,2023,228.00
70,Adult,F,Number,Poland,2008,2455.00
71,Adult,F,Number,Poland,2009,2434.00
72,Adult,F,Number,Poland,2010,2515.00
73,Adult,F,Number,Poland,2011,2456.00
74,Adult,F,Number,Poland,2012,2638.00
75,Adult,F,Number,Poland,2013,2591.00
76,Adult,F,Number,France,2021,2195.00
77,Adult,F,Number,Poland,2014,2484.00
78,Adult,F,Number,Poland,2015,2336.00
79,Adult,F,Number,France,2022,2265.00
80,Adult,F,Number,Poland,2016,2535.00
81,Adult,F,Number,Poland,2017,2825.00
82,Adult,F,Number,Poland,2018,2891.00
83,Adult,F,Number,Poland,2019,3151.00
