ID,offence,sex,unit_of_measure,country_territory,recorded_year,recorded_value
1,"Intentional homicide",Females,Number,Albania,2008,51.00
2,"Intentional homicide",Females,Number,Albania,2009,9.00
3,"Intentional homicide",Females,Number,Albania,2010,27.00
4,"Intentional homicide",Females,Number,Albania,2011,32.00
5,"Intentional homicide",Females,Number,Albania,2012,28.00
6,"Intentional homicide",Females,Number,Albania,2013,22.00
7,"Intentional homicide",Females,Number,Albania,2014,16.00
8,"Intentional homicide",Females,Number,Albania,2015,4.00
9,"Intentional homicide",Females,Number,Albania,2016,4.00
10,"Intentional homicide",Females,Number,Albania,2017,3.00
11,"Intentional homicide",Females,Number,Albania,2018,3.00
12,"Intentional homicide",Females,Number,Albania,2019,2.00
13,"Intentional homicide",Females,Number,Albania,2020,1.00
14,"Intentional homicide",Females,Number,Albania,2021,1.00
15,"Intentional homicide",Females,Number,Albania,2022,1.00
16,"Intentional homicide",Females,Number,Albania,2023,0.00
17,"Intentional homicide",Females,Number,Austria,2008,36.00
18,"Intentional homicide",Females,Number,Austria,2009,36.00
19,"Intentional homicide",Females,Number,Austria,2010,37.00
20,"Intentional homicide",Females,Number,Austria,2011,31.00
21,"Intentional homicide",Females,Number,Austria,2012,32.00
22,"Intentional homicide",Females,Number,Austria,2013,37.00
23,"Intentional homicide",Females,Number,Austria,2014,37.00
24,"Intentional homicide",Females,Number,Austria,2015,37.00
25,"Intentional homicide",Females,Number,Austria,2016,6.00
26,"Intentional homicide",Females,Number,Austria,2017,39.00
27,"Intentional homicide",Females,Number,Austria,2018,30.00
28,"Intentional homicide",Females,Number,Austria,2019,31.00
29,"Intentional homicide",Females,Number,Austria,2020,33.00
30,"Intentional homicide",Females,Number,Austria,2021,37.00
31,"Intentional homicide",Females,Number,Austria,2022,38.00
32,"Intentional homicide",Females,Number,Austria,2023,42.00
33,"Intentional homicide",Females,Number,"Bosnia and Herzegovina",2013,20.00
34,"Intentional homicide",Females,Number,"Bosnia and Herzegovina",2014,21.00
35,"Intentional homicide",Females,Number,"Bosnia and Herzegovina",2015,20.00
36,"Intentional homicide",Females,Number,"Bosnia and Herzegovina",2016,10.00
37,"Intentional homicide",Females,Number,"Bosnia and Herzegovina",2018,10.00
38,"Intentional homicide",Females,Number,"Bosnia and Herzegovina",2019,25.00
39,"Intentional homicide",Females,Number,"Bosnia and Herzegovina",2020,24.00
40,"Intentional homicide",Females,Number,"Bosnia and Herzegovina",2021,22.00
41,"Intentional homicide",Females,Number,"Bosnia and Herzegovina",2022,22.00
42,"Intentional homicide",Females,Number,"Bosnia and Herzegovina",2023,0.00
43,"Intentional homicide",Females,Number,Poland,2017,374.00
44,"Intentional homicide",Females,Number,Belgium,2008,51.00
45,"Intentional homicide",Females,Number,Belgium,2009,40.00
46,"Intentional homicide",Females,Number,Belgium,2010,45.00
47,"Intentional homicide",Females,Number,Belgium,2011,49.00
48,"Intentional homicide",Females,Number,Belgium,2012,63.00
49,"Intentional homicide",Females,Number,Bulgaria,2008,52.00
50,"Intentional homicide",Females,Number,Bulgaria,2009,53.00
51,"Intentional homicide",Females,Number,Bulgaria,2010,54.00
52,"Intentional homicide",Females,Number,Bulgaria,2011,43.00
53,"Intentional homicide",Females,Number,Bulgaria,2012,37.00
54,"Intentional homicide",Females,Number,Bulgaria,2013,34.00
55,"Intentional homicide",Females,Number,Poland,2018,370.00
56,"Intentional homicide",Females,Number,Bulgaria,2014,36.00
57,"Intentional homicide",Females,Number,Bulgaria,2015,37.00
58,"Intentional homicide",Females,Number,Bulgaria,2016,37.00
59,"Intentional homicide",Females,Number,Bulgaria,2017,34.00
60,"Intentional homicide",Females,Number,Poland,2019,357.00
61,"Intentional homicide",Females,Number,Bulgaria,2018,39.00
62,"Intentional homicide",Females,Number,Bulgaria,2019,36.00
63,"Intentional homicide",Females,Number,Poland,2020,352.00
64,"Intentional homicide",Females,Number,Bulgaria,2020,33.00
65,"Intentional homicide",Females,Number,Bulgaria,2021,32.00
66,"Intentional homicide",Females,Number,Bulgaria,2022,28.00
67,"Intentional homicide",Females,Number,Bulgaria,2023,59.00
68,"Intentional homicide",Females,Number,Switzerland,2008,21.00
69,"Intentional homicide",Females,Number,Poland,2021,372.00
70,"Intentional homicide",Females,Number,Poland,2022,368.00
71,"Intentional homicide",Females,Number,Poland,2023,370.00
72,"Intentional homicide",Females,Number,Portugal,2008,13.00
73,"Intentional homicide",Females,Number,Portugal,2009,13.00
74,"Intentional homicide",Females,Number,Portugal,2010,13.00
75,"Intentional homicide",Females,Number,Kosovo*,2011,20.00
76,"Intentional homicide",Females,Number,Portugal,2011,15.00
77,"Intentional homicide",Females,Number,Kosovo*,2012,23.00
78,"Intentional homicide",Females,Number,Kosovo*,2013,16.00
79,"Intentional homicide",Females,Number,Kosovo*,2014,14.00
80,"Intentional homicide",Females,Number,Kosovo*,2015,11.00
81,"Intentional homicide",Females,Number,Kosovo*,2017,13.00
82,"Intentional homicide",Females,Number,Kosovo*,2018,15.00
83,"Intentional homicide",Females,Number,Kosovo*,2019,8.00
84,"Intentional homicide",Females,Number,Kosovo*,2020,10.00
85,"Intentional homicide",Females,"Per hundred thousand inhabitants",Albania,2008,3.22
86,"Intentional homicide",Females,"Per hundred thousand inhabitants",Albania,2009,0.56
87,"Intentional homicide",Females,"Per hundred thousand inhabitants",Albania,2011,2.27
88,"Intentional homicide",Females,"Per hundred thousand inhabitants",Albania,2014,1.11
89,"Intentional homicide",Females,"Per hundred thousand inhabitants",Albania,2015,0.28
90,"Intentional homicide",Females,"Per hundred thousand inhabitants",Albania,2016,0.28
91,"Intentional homicide",Females,Number,France,2018,487.00
92,"Intentional homicide",Females,"Per hundred thousand inhabitants",Albania,2017,0.21
93,"Intentional homicide",Females,"Per hundred thousand inhabitants",Albania,2018,0.21
94,"Intentional homicide",Females,"Per hundred thousand inhabitants",Albania,2019,0.14
95,"Intentional homicide",Females,"Per hundred thousand inhabitants",Albania,2020,0.07
96,"Intentional homicide",Females,"Per hundred thousand inhabitants",Albania,2021,0.07
97,"Intentional homicide",Females,"Per hundred thousand inhabitants",Albania,2022,0.07
98,"Intentional homicide",Females,"Per hundred thousand inhabitants",Albania,2023,0.00
99,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2008,0.84
100,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2009,0.84
101,"Intentional homicide",Females,"Per hundred thousand inhabitants",Austria,2010,0.86
