ID,crime,country,recorded_year,count
1,"Intentional homicide",Austria,1994,88
2,"Intentional homicide",Austria,1995,78
3,"Intentional homicide",Austria,1996,99
4,"Intentional homicide",Austria,1997,66
5,"Intentional homicide",Austria,1998,77
6,"Intentional homicide",Austria,1999,60
7,"Intentional homicide",Austria,2000,82
8,"Intentional homicide",Austria,2001,70
9,"Intentional homicide",Austria,2002,65
10,"Intentional homicide",Austria,2003,50
11,"Intentional homicide",Austria,2004,59
12,"Intentional homicide",Austria,2005,54
13,"Intentional homicide",Austria,2006,60
14,"Intentional homicide",Austria,2007,45
15,"Intentional homicide",Belgium,2000,216
16,"Intentional homicide",Czechia,2005,108
17,"Intentional homicide",Czechia,2006,130
18,"Intentional homicide",Norway,2000,48
19,"Intentional homicide",Belgium,2001,282
20,"Intentional homicide",Norway,2001,37
21,"Intentional homicide",Czechia,2007,126
22,"Intentional homicide",Germany,1993,1250
23,"Intentional homicide",Germany,1994,1343
24,"Intentional homicide",Germany,1995,1406
25,"Intentional homicide",Belgium,2002,320
26,"Intentional homicide",Norway,2002,46
27,"Intentional homicide",Belgium,2003,229
28,"Intentional homicide",Norway,2003,51
29,"Intentional homicide",Belgium,2004,267
30,"Intentional homicide",Norway,2004,36
31,"Intentional homicide",Belgium,2005,221
32,"Intentional homicide",Germany,1996,1382
33,"Intentional homicide",Norway,2005,33
34,"Intentional homicide",Belgium,2006,223
35,"Intentional homicide",Norway,2006,33
36,"Intentional homicide",Norway,2007,30
37,"Intentional homicide",Poland,1993,898
38,"Intentional homicide",Belgium,2007,211
39,"Intentional homicide",Bulgaria,1995,461
40,"Intentional homicide",Germany,1997,1265
41,"Intentional homicide",Poland,1994,915
42,"Intentional homicide",Germany,1998,998
43,"Intentional homicide",Poland,1995,854
44,"Intentional homicide",Poland,1996,873
45,"Intentional homicide",Poland,1997,807
46,"Intentional homicide",Bulgaria,1996,404
47,"Intentional homicide",Poland,1998,759
48,"Intentional homicide",Bulgaria,1997,369
49,"Intentional homicide",Bulgaria,1998,381
50,"Intentional homicide",Germany,1999,1020
51,"Intentional homicide",Bulgaria,1999,327
52,"Intentional homicide",Bulgaria,2000,332
53,"Intentional homicide",Germany,2000,1015
54,"Intentional homicide",Bulgaria,2001,308
55,"Intentional homicide",Bulgaria,2002,255
56,"Intentional homicide",Poland,1999,741
57,"Intentional homicide",Germany,2001,925
58,"Intentional homicide",Bulgaria,2003,247
59,"Intentional homicide",Germany,2002,955
60,"Intentional homicide",Germany,2003,859
61,"Intentional homicide",Germany,2004,868
62,"Intentional homicide",Bulgaria,2004,240
63,"Intentional homicide",Bulgaria,2005,196
64,"Intentional homicide",Bulgaria,2006,183
65,"Intentional homicide",Bulgaria,2007,169
66,"Intentional homicide",Switzerland,1994,80
67,"Intentional homicide",Switzerland,1995,82
68,"Intentional homicide",Switzerland,1996,83
69,"Intentional homicide",Switzerland,1997,87
70,"Intentional homicide",Switzerland,1998,76
71,"Intentional homicide",Switzerland,1999,89
72,"Intentional homicide",Switzerland,2000,69
73,"Intentional homicide",Switzerland,2001,86
74,"Intentional homicide",Switzerland,2002,86
75,"Intentional homicide",Switzerland,2003,73
76,"Intentional homicide",Switzerland,2004,79
77,"Intentional homicide",Switzerland,2005,75
78,"Intentional homicide",Switzerland,2006,60
79,"Intentional homicide",Switzerland,2007,51
80,"Intentional homicide",Cyprus,1993,9
81,"Intentional homicide",Cyprus,1994,8
82,"Intentional homicide",Cyprus,1995,10
83,"Intentional homicide",Cyprus,1996,10
84,"Intentional homicide",Cyprus,1997,7
85,"Intentional homicide",Cyprus,1998,7
86,"Intentional homicide",Cyprus,1999,10
87,"Intentional homicide",Cyprus,2000,8
88,"Intentional homicide",Cyprus,2001,7
89,"Intentional homicide",Cyprus,2002,3
90,"Intentional homicide",Cyprus,2003,15
91,"Intentional homicide",Cyprus,2004,15
92,"Intentional homicide",Cyprus,2005,15
93,"Intentional homicide",Cyprus,2006,12
94,"Intentional homicide",Cyprus,2007,11
95,"Intentional homicide",Czechia,1994,207
96,"Intentional homicide",Czechia,1996,181
97,"Intentional homicide",Czechia,1997,186
98,"Intentional homicide",Czechia,1998,183
99,"Intentional homicide",Czechia,1999,175
100,"Intentional homicide",Czechia,2000,179
101,"Intentional homicide",Czechia,2001,157
102,"Intentional homicide",Czechia,2002,147
103,"Intentional homicide",Czechia,2003,161
104,"Intentional homicide",Czechia,2004,134
105,"Intentional homicide","Scotland (NUTS 2021)",2006,123
106,"Intentional homicide","Scotland (NUTS 2021)",2007,111
107,"Intentional homicide","Northern Ireland (UK) (NUTS 2021)",1994,86
108,"Intentional homicide","Northern Ireland (UK) (NUTS 2021)",1995,24
109,"Intentional homicide","Northern Ireland (UK) (NUTS 2021)",1996,39
110,"Intentional homicide","Northern Ireland (UK) (NUTS 2021)",1997,42
111,"Intentional homicide","Northern Ireland (UK) (NUTS 2021)",1998,75
112,"Intentional homicide","Northern Ireland (UK) (NUTS 2021)",1999,34
113,"Intentional homicide","Northern Ireland (UK) (NUTS 2021)",2000,48
114,"Intentional homicide","Northern Ireland (UK) (NUTS 2021)",2001,52
115,"Intentional homicide","Northern Ireland (UK) (NUTS 2021)",2002,45
116,"Intentional homicide","Northern Ireland (UK) (NUTS 2021)",2003,33
117,"Intentional homicide","Northern Ireland (UK) (NUTS 2021)",2004,41
118,"Intentional homicide","Northern Ireland (UK) (NUTS 2021)",2005,29
119,"Intentional homicide","Northern Ireland (UK) (NUTS 2021)",2006,24
120,"Intentional homicide","Northern Ireland (UK) (NUTS 2021)",2007,30
121,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Austria,1999,36211
122,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Austria,2000,39111
123,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Austria,2001,34383
124,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Austria,2002,36998
125,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Austria,2003,40008
126,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Austria,2004,41044
127,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Austria,2005,42928
128,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Austria,2006,43316
129,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Austria,2007,46217
130,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Belgium,2000,103770
131,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Belgium,2001,103017
132,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Belgium,2002,107974
133,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Belgium,2003,108573
134,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Belgium,2004,109175
135,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Belgium,2005,111451
136,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Belgium,2006,113952
137,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Belgium,2007,115645
138,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Bulgaria,1999,12887
139,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Bulgaria,2000,11018
140,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Bulgaria,2001,10950
141,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Bulgaria,2002,12176
142,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Bulgaria,2003,12796
143,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Bulgaria,2004,11284
144,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Bulgaria,2005,10623
145,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Bulgaria,2006,8766
146,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Bulgaria,2007,8696
147,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Switzerland,1993,6606
148,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Switzerland,1994,6002
149,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Switzerland,1995,6042
150,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Switzerland,1996,6932
151,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Switzerland,1997,7472
152,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Switzerland,1998,8015
153,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Switzerland,1999,8528
154,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Switzerland,2000,8152
155,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Switzerland,2001,8653
156,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Switzerland,2002,9265
157,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Switzerland,2003,10151
158,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Switzerland,2004,11917
159,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Switzerland,2005,11544
160,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Switzerland,2006,12784
161,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Switzerland,2007,13537
162,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Cyprus,1993,149
163,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Cyprus,1994,170
164,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Cyprus,1995,198
165,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Cyprus,1996,180
166,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Cyprus,1997,186
167,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Cyprus,1998,176
168,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Cyprus,1999,197
169,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Cyprus,2000,185
170,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Cyprus,2001,200
171,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Cyprus,2002,203
172,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Cyprus,2003,294
173,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Cyprus,2004,383
174,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Cyprus,2005,325
175,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Cyprus,2006,319
176,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Cyprus,2007,301
177,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Czechia,1993,20263
178,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Czechia,1994,20573
179,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Czechia,1995,22114
180,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Czechia,1996,23212
181,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Czechia,1997,23576
182,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Czechia,1998,23810
183,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Czechia,1999,23581
184,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Czechia,2000,22206
185,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Czechia,2001,22017
186,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Czechia,2002,23956
187,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Czechia,2003,22763
188,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Czechia,2004,24025
189,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Czechia,2005,22079
190,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Czechia,2006,19454
191,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Czechia,2007,19976
192,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Germany,1993,160680
193,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Germany,1994,156272
194,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Germany,1995,170170
195,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Germany,1996,179455
196,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Germany,1997,186447
197,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Germany,1998,186306
198,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Germany,1999,186655
199,"Acts causing harm or intending to cause harm to the person, injurious acts of a sexual nature and acts against property involving violence or threat against a person",Germany,2000,187103
