DATAFLOW,LAST UPDATE,freq,iccs,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2008,51,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2009,9,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2010,27,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2011,32,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2012,28,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2013,22,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2014,16,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2015,4,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2016,4,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2017,3,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2018,3,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2019,2,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2020,1,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2021,1,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2022,1,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Albania,2023,0,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2008,36,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2009,36,,
ESTAT:CRIM_PRIS_OFF(1.0),23/04/25 11:00:00,Annual,Intentional homicide,Females,Number,Austria,2010,37,,
